Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
LA ARAUCANIA,116,UNIDAD VECINAL 7,SAAVEDRA,1,1,1,1503,True
ÑUBLE,117,5R,QUILLON,1,1,2,354,True
BIOBIO,118,ALTO ANTUCO LAS MELLIZAS,ANTUCO,1,1,1,157,True
LA ARAUCANIA,119,BAJO YUPEHUE,CARAHUE,1,1,1,915,True
COQUIMBO,120,010,PUNITAQUI,1,1,1,250,True
COQUIMBO,121,007,PUNITAQUI,1,1,2,397,True
BIOBIO,122,LOS CRUCEROS,CURANILAHUE,1,1,1,7,True
ÑUBLE,123,PILME,QUIRIHUE,1,1,1,17,True
LA ARAUCANIA,124,UNIDAD VECINAL 4,SAAVEDRA,1,1,1,584,True
LA ARAUCANIA,125,UNIDAD VECINAL 10,SAAVEDRA,1,1,2,1935,True
LOS LAGOS,126,ALAO,QUINCHAO,1,1,1,302,True
MAULE,127,VEGA DEL MOLINO,LONGAVI,1,1,1,215,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,128,MALLIN GRANDE,CHILE CHICO,1,1,1,186,True
LA ARAUCANIA,129,CAMAGUEY,TOLTEN,1,1,1,664,True
BIOBIO,130,08R,TIRUA,1,1,1,583,True
VALPARAISO,131,EL FRUTILLAR,PETORCA,1,1,1,53,True
LA ARAUCANIA,132,MANZANAL,PUREN,1,1,2,688,True
ÑUBLE,133,02R,NIQUEN,1,1,1,184,True
LOS LAGOS,134,MANQUEMAPU,PURRANQUE,1,1,1,145,True
MAULE,135,SIN DEF COMUNAL,SAN CLEMENTE,1,1,1,106,False
LA ARAUCANIA,136,SAN GREGORIO,VICTORIA,1,1,1,82,True
LOS LAGOS,137,LOLOLHUE,SAN PABLO,1,1,1,284,True
LA ARAUCANIA,138,UNIDAD VECINAL 6,SAAVEDRA,1,1,2,3224,True
VALPARAISO,139,ISLA ALEJANDRO SELKIRK,JUAN FERNANDEZ,1,1,2,109,True
ANTOFAGASTA,140,SIN DEF COMUNAL,ANTOFAGASTA,1,1,1,15125,False
LIBERTADOR GENERAL BERNARDO OHIGGINS,141,PULPERIA,NAVIDAD,1,1,1,316,True
LA ARAUCANIA,142,MOLCO,NUEVA IMPERIAL,1,1,1,3484,True
MAULE,143,SIN DEF COMUNAL,LINARES,1,1,1,47,False
LA ARAUCANIA,144,PEHUENCO,VICTORIA,1,1,1,443,True
LOS LAGOS,145,PANGUIMAPU,SAN JUAN DE LA COSTA,1,1,2,455,True
LA ARAUCANIA,146,LA COLMENA,TRAIGUEN,1,1,1,784,True
LOS LAGOS,147,TEHUACO,ANCUD,1,1,1,470,True
LA ARAUCANIA,148,ALTO CHELLE,TEODORO SCHMIDT,1,1,2,1064,True
LOS LAGOS,149,SIN DEF COMUNAL,PALENA,1,1,2,0,False
COQUIMBO,150,006,PUNITAQUI,1,1,2,186,True
LA ARAUCANIA,151,EL MANZANO,CARAHUE,1,1,1,518,True
ARICA Y PARINACOTA,152,GUALLATIRE,PUTRE,1,1,2,63,True
BIOBIO,153,13R,MULCHEN,1,1,1,176,True
BIOBIO,154,15R,MULCHEN,1,1,1,72,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,155,ESPINILLO,PICHILEMU,1,1,1,202,True
LOS LAGOS,156,ISLAS DESERTORES,CHAITEN,1,1,1,158,True
ÑUBLE,157,13R,PORTEZUELO,1,1,2,255,True
LOS LAGOS,158,4,COCHAMO,1,1,2,783,True
ÑUBLE,159,LAS DELICIAS,QUIRIHUE,1,1,1,35,True
BIOBIO,160,25R,CANETE,1,1,1,605,True
BIOBIO,161,020,FLORIDA,1,1,1,180,True
LOS LAGOS,162,PERGUE,CALBUCO,1,1,1,292,True
ARICA Y PARINACOTA,163,GUACOLLO,GENERAL LAGOS,1,1,3,39,True
LOS RIOS,164,LUMACO NAGUILAN LAS POZAS FUTA,CORRAL,1,1,1,141,True
TARAPACA,165,008,HUARA,1,1,1,29,True
LA ARAUCANIA,166,RANQUILCO,NUEVA IMPERIAL,1,1,1,4092,True
LA ARAUCANIA,167,COLONIA LOLENCO,ANGOL,1,1,1,252,True
VALPARAISO,168,EL PINAR,EL TABO,1,1,1,1313,True
LA ARAUCANIA,169,CERRO PIEDRA,ANGOL,1,1,1,19,True
LOS LAGOS,170,LAS CUYAS PATO DE LLICO,FRESIA,1,1,1,300,True
LOS LAGOS,171,BAHIA SAN PEDRO,PURRANQUE,1,1,1,78,True
LA ARAUCANIA,172,PICHIPELLAHUEN,LUMACO,1,1,2,787,True
LOS LAGOS,173,PALIHUE,LOS MUERMOS,1,1,1,256,True
BIOBIO,174,CANCHILLAS,YUMBEL,1,1,1,403,True
ÑUBLE,175,7R,QUILLON,1,1,2,747,True
LA ARAUCANIA,176,EL PROGRESO,CARAHUE,1,1,1,664,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,177,PENINSULA DE LEVICAN,RIO IBANEZ,1,1,2,34,True
BIOBIO,178,RUMENA,ARAUCO,1,1,1,324,True
LA ARAUCANIA,179,MADILHUE,LUMACO,1,1,2,36,True
METROPOLITANA DE SANTIAGO,180,B16,PUENTE ALTO,1,1,1,69,True
