series,territory_code,roles,primary_h,positive_h_line_roles,non_h_with_h_line,excluded_common,excluded_matrix,unresolved,eligible_non_h_h,agricultural_p_only,primary_h_without_positive_h_line
N,7402,8622,5832,5856,49,1,0,0,48,0,25
N,7403,9300,5612,5671,73,0,0,0,73,0,14
N,7404,20263,15023,15270,258,1,0,0,257,0,11
N,7405,7751,4523,4571,50,0,0,0,50,0,2
N,7406,22722,17487,17669,193,1,0,0,192,0,11
N,7407,7483,5936,5980,51,0,0,0,51,0,7
N,7408,5981,4009,4030,28,0,0,0,28,0,7
N,8101,139090,91251,93094,1983,621,0,0,1362,0,140
N,8102,49181,44529,44480,408,27,0,0,381,0,457
N,8103,32194,28109,28364,273,52,0,0,221,0,18
N,8104,6163,2677,2702,30,0,0,0,30,0,5
N,8105,9861,7479,7524,59,0,0,0,59,0,14
N,8106,14170,13113,13153,177,9,0,0,168,0,137
N,8107,16065,14416,14656,250,16,0,0,234,0,10
N,8108,68057,55385,55899,640,150,0,0,490,0,126
N,8109,6281,4321,4382,67,0,0,0,67,0,6
N,8110,50977,46120,46857,770,87,0,0,683,0,33
N,8111,24322,19273,19447,286,21,0,0,265,0,112
N,8112,33349,31300,31622,328,90,0,0,238,0,6
N,8201,9144,7866,7778,119,1,0,0,118,0,207
N,8202,13097,10832,10824,216,2,0,0,214,0,224
N,8203,8946,7351,7462,169,0,0,0,169,0,58
N,8204,1676,1190,1202,40,0,0,0,40,0,28
N,8205,9901,9272,8988,101,5,0,0,96,0,385
N,8206,7327,6105,6067,62,0,0,0,62,0,100
N,8207,1816,1437,1429,25,0,0,0,25,0,33
N,8301,83820,65587,66252,837,88,0,0,749,0,172
N,8302,2237,1314,1262,27,0,0,0,27,0,79
N,8303,11770,8433,8501,144,1,0,0,143,0,76
N,8304,7625,6267,6391,140,1,0,0,139,0,16
N,8305,8947,7474,7536,147,1,0,0,146,0,85
N,8306,9455,8095,8240,173,0,0,0,173,0,28
N,8307,3283,2478,2475,32,0,0,0,32,0,35
N,8308,1540,992,1002,13,0,0,0,13,0,3
N,8309,2749,2020,2055,39,0,0,0,39,0,4
N,8310,1182,938,900,15,0,0,0,15,0,53
N,8311,4280,3323,3319,69,0,0,0,69,0,73
N,8312,7819,6147,6134,97,0,0,0,97,0,110
N,8313,9512,6291,6350,134,3,0,0,131,0,75
N,8314,511,255,269,15,0,0,0,15,0,1
N,9101,147165,110578,112243,1770,210,0,0,1560,0,105
N,9102,6092,5115,5234,144,0,0,0,144,0,25
N,9103,7763,5091,5186,133,0,0,0,133,0,38
N,9104,3234,897,912,34,0,0,0,34,0,19
N,9105,5479,3461,3550,94,0,0,0,94,0,5
N,9106,1983,1646,1700,58,0,0,0,58,0,4
N,9107,5577,4201,4277,122,0,0,0,122,0,46
