scope,territory_code,name,region,fiscal_source_available,direct_source_available,census_private_dwellings_2024,fiscal_baseline_primary_h_roles_2026s1,direct_primary_h_roles_2026s1,direct_vs_fiscal_primary_h_change,eligible_nonprincipal_residential_roles_2026s1,expanded_residential_roles_2026s1,signed_difference_before_expansion,positive_difference_before_expansion,signed_difference_after_expansion,positive_difference_after_expansion,signed_difference_reduction,positive_difference_reduction
commune,5101,Valparaíso,Valparaíso,True,True,131986,99453,99462,9,1273,100735,32524,32524,31251,31251,1273,1273
commune,5102,Casablanca,Valparaíso,True,True,13969,9465,9466,1,172,9638,4503,4503,4331,4331,172,172
commune,5103,Concón,Valparaíso,True,True,26942,24937,24937,0,161,25098,2005,2005,1844,1844,161,161
commune,5104,Juan Fernández,Valparaíso,True,True,470,248,248,0,4,252,222,222,218,218,4,4
commune,5105,Puchuncaví,Valparaíso,True,True,21137,11937,11939,2,124,12063,9198,9198,9074,9074,124,124
commune,5107,Quintero,Valparaíso,True,True,19653,13736,13736,0,201,13937,5917,5917,5716,5716,201,201
commune,5109,Viña del Mar,Valparaíso,True,True,163365,139335,139361,26,788,140149,24004,24004,23216,23216,788,788
commune,5201,Isla de Pascua,Valparaíso,True,True,3107,293,293,0,22,315,2814,2814,2792,2792,22,22
commune,5301,Los Andes,Valparaíso,True,True,26010,24804,24804,0,363,25167,1206,1206,843,843,363,363
commune,5302,Calle Larga,Valparaíso,True,True,6201,5164,5164,0,26,5190,1037,1037,1011,1011,26,26
commune,5303,Rinconada,Valparaíso,True,True,4725,3943,3943,0,26,3969,782,782,756,756,26,26
commune,5304,San Esteban,Valparaíso,True,True,8213,6482,6482,0,44,6526,1731,1731,1687,1687,44,44
commune,5401,La Ligua,Valparaíso,True,True,24062,11914,11915,1,245,12160,12147,12147,11902,11902,245,245
commune,5402,Cabildo,Valparaíso,True,True,7337,5186,5187,1,98,5285,2150,2150,2052,2052,98,98
commune,5403,Papudo,Valparaíso,True,True,8020,6807,6808,1,74,6882,1212,1212,1138,1138,74,74
commune,5404,Petorca,Valparaíso,True,True,5034,3296,3296,0,36,3332,1738,1738,1702,1702,36,36
commune,5405,Zapallar,Valparaíso,True,True,8096,6148,6151,3,65,6216,1945,1945,1880,1880,65,65
commune,5501,Quillota,Valparaíso,True,True,37199,33672,33673,1,319,33992,3526,3526,3207,3207,319,319
commune,5502,Calera,Valparaíso,True,True,19627,16727,16730,3,233,16963,2897,2897,2664,2664,233,233
commune,5503,Hijuelas,Valparaíso,True,True,7374,3892,3892,0,68,3960,3482,3482,3414,3414,68,68
commune,5504,La Cruz,Valparaíso,True,True,9858,8477,8477,0,56,8533,1381,1381,1325,1325,56,56
